entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3663754691","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3663754692","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3663754693","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3663754694","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","4) You can not use this form to create new entries"
"3663754695","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","",""
"3663754696","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","","","","","",126644-145307:Isaiah Stewart,126644-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,22.6437505086263,48,5100,DET@NY,DET,NY,O,Suspension,,,,PF/C
"","","","","","","","","","","","","","",126644-145333:Aaron Nesmith,126644-145333,SF/PF,Aaron,Aaron Nesmith,Nesmith,24.668750762939453,32,5100,IND@WAS,IND,WAS,Q,Back,,,,SF/PF
"","","","","","","","","","","","","","",126644-110347:Keldon Johnson,126644-110347,SF/PF,Keldon,Keldon Johnson,Johnson,24.19629584418403,54,5000,PHO@SA,SA,PHO,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-203721:Bub Carrington,126644-203721,PG,Bub,Bub Carrington,Carrington,21.32830234743514,53,5000,IND@WAS,WAS,IND,,,,,,PG
"","","","","","","","","","","","","","",126644-15557:Andre Drummond,126644-15557,C,Andre,Andre Drummond,Drummond,21.769999694824218,40,4800,ATL@PHI,PHI,ATL,,,,,,C
"","","","","","","","","","","","","","",126644-18338:Royce O'Neale,126644-18338,SF/PF,Royce,Royce O'Neale,O'Neale,23.349090021306818,55,4800,PHO@SA,PHO,SA,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-84709:Mitchell Robinson,126644-84709,C,Mitchell,Mitchell Robinson,Robinson,22.312820825821316,39,4700,DET@NY,NY,DET,,,,,,C
"","","","","","","","","","","","","","",126644-228117:Will Riley,126644-228117,SF/PF,Will,Will Riley,Riley,13.026666937934028,45,4700,IND@WAS,WAS,IND,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-157907:Jalen Green,126644-157907,SG/PG,Jalen,Jalen Green,Green,17,7,4600,PHO@SA,PHO,SA,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-228163:Jamir Watkins,126644-228163,SG,Jamir,Jamir Watkins,Watkins,13.748148600260416,27,4600,IND@WAS,WAS,IND,,,,,,SG
"","","","","","","","","","","","","","",126644-171925:Dominick Barlow,126644-171925,PF/C,Dominick,Dominick Barlow,Barlow,20.27906976744186,43,4600,ATL@PHI,PHI,ATL,,,,,,PF/C
"","","","","","","","","","","","","","",126644-160174:Jordan Goodwin,126644-160174,SG/SF,Jordan,Jordan Goodwin,Goodwin,21.974999060997597,52,4600,PHO@SA,PHO,SA,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-203812:Daniss Jenkins,126644-203812,PG/SG,Daniss,Daniss Jenkins,Jenkins,16.990908536044035,44,4500,DET@NY,DET,NY,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-179762:Quenton Jackson,126644-179762,SG/PG,Quenton,Quenton Jackson,Jackson,15.207692072941708,26,4500,IND@WAS,IND,WAS,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-85137:Duncan Robinson,126644-85137,SG/SF,Duncan,Duncan Robinson,Robinson,20.449020086550245,51,4500,DET@NY,DET,NY,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-41083:Luke Kornet,126644-41083,C,Luke,Luke Kornet,Kornet,22.94545399058949,44,4400,PHO@SA,SA,PHO,,,,,,C
"","","","","","","","","","","","","","",126644-157843:Ziaire Williams,126644-157843,SF/SG,Ziaire,Ziaire Williams,Williams,18.165789152446546,38,4400,BKN@CLE,BKN,CLE,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-70823:Guerschon Yabusele,126644-70823,C/PF,Guerschon,Guerschon Yabusele,Yabusele,7.75111083984375,45,4400,TOR@CHI,CHI,TOR,,,,,,PF/C
"","","","","","","","","","","","","","",126644-40201:Dennis Schroder,126644-40201,PG/SG,Dennis,Dennis Schroder,Schroder,24.668182373046875,44,4400,BKN@CLE,CLE,BKN,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-161552:Micah Potter,126644-161552,PF/C,Micah,Micah Potter,Potter,16.227272727272727,22,4400,IND@WAS,IND,WAS,Q,Ankle,,,,PF/C
"","","","","","","","","","","","","","",126644-157826:Quentin Grimes,126644-157826,SG/SF,Quentin,Quentin Grimes,Grimes,24.75,48,4300,ATL@PHI,PHI,ATL,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-158373:Jose Alvarado,126644-158373,PG,Jose,Jose Alvarado,Alvarado,18.511363636363637,44,4300,DET@NY,NY,DET,,,,,,PG
"","","","","","","","","","","","","","",126644-228147:Ryan Kalkbrenner,126644-228147,C,Ryan,Ryan Kalkbrenner,Kalkbrenner,21.683721498001454,43,4300,HOU@CHA,CHA,HOU,,,,,,C
"","","","","","","","","","","","","","",126644-145318:Nick Richards,126644-145318,C,Nick,Nick Richards,Richards,10.035484067855343,31,4300,TOR@CHI,CHI,TOR,,,,,,C
"","","","","","","","","","","","","","",126644-145317:Sam Merrill,126644-145317,SF/SG,Sam,Sam Merrill,Merrill,21.103226200226814,31,4300,BKN@CLE,CLE,BKN,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-203718:Rob Dillingham,126644-203718,PG,Rob,Rob Dillingham,Dillingham,9.536841944644326,38,4300,TOR@CHI,CHI,TOR,,,,,,PG
"","","","","","","","","","","","","","",126644-18393:T.J. McConnell,126644-18393,PG,T.J.,T.J. McConnell,McConnell,22.164999389648436,40,4300,IND@WAS,IND,WAS,Q,Hamstring,,,,PG
"","","","","","","","","","","","","","",126644-172098:Julian Champagnie,126644-172098,SG/SF,Julian,Julian Champagnie,Champagnie,22.94629584418403,54,4200,PHO@SA,SA,PHO,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-161490:Ethan Thompson,126644-161490,SG,Ethan,Ethan Thompson,Thompson,11.409090909090908,22,4200,IND@WAS,IND,WAS,,,,,,SG
"","","","","","","","","","","","","","",126644-157904:Jonathan Kuminga,126644-157904,SF/PF,Jonathan,Jonathan Kuminga,Kuminga,22.66999969482422,20,4200,ATL@PHI,ATL,PHI,O,Knee,,,,SF/PF
